pitch,duration,melody_id,technique
67,480,knopfler_picking_1,normal
71,240,knopfler_picking_1,normal
74,120,knopfler_picking_1,normal
71,120,knopfler_picking_1,normal
67,240,knopfler_picking_1,normal
70,240,knopfler_picking_1,normal
74,120,knopfler_picking_1,normal
70,120,knopfler_picking_1,normal
67,480,knopfler_picking_2,normal
72,240,knopfler_picking_2,normal
76,120,knopfler_picking_2,normal
72,120,knopfler_picking_2,normal
67,240,knopfler_picking_2,normal
71,240,knopfler_picking_2,slide_up
74,120,knopfler_picking_2,normal
71,120,knopfler_picking_2,normal
67,960,knopfler_picking_2,vibrato
67,960,new_age_ambient_1,normal
72,960,new_age_ambient_1,legato
79,960,new_age_ambient_1,legato
84,960,new_age_ambient_1,vibrato
79,960,new_age_ambient_1,normal
72,960,new_age_ambient_1,normal
67,1920,new_age_ambient_1,normal
72,960,new_age_ambient_2,normal
79,960,new_age_ambient_2,legato
84,960,new_age_ambient_2,vibrato
79,960,new_age_ambient_2,normal
84,960,new_age_ambient_2,legato
79,960,new_age_ambient_2,normal
72,1920,new_age_ambient_2,normal
64,480,classical_guitar_1,normal
66,240,classical_guitar_1,normal
67,240,classical_guitar_1,legato
69,480,classical_guitar_1,normal
71,480,classical_guitar_1,normal
72,960,classical_guitar_1,vibrato
71,480,classical_guitar_1,normal
69,480,classical_guitar_1,normal
67,480,classical_guitar_1,normal
64,960,classical_guitar_1,normal
64,480,classical_guitar_2,normal
67,480,classical_guitar_2,legato
71,480,classical_guitar_2,normal
72,480,classical_guitar_2,vibrato
71,480,classical_guitar_2,normal
67,480,classical_guitar_2,normal
64,480,classical_guitar_2,normal
60,960,classical_guitar_2,normal
67,960,gilmour_ambient_1,normal
72,960,gilmour_ambient_1,slide_up
79,960,gilmour_ambient_1,normal
84,960,gilmour_ambient_1,vibrato
79,480,gilmour_ambient_1,normal
76,480,gilmour_ambient_1,normal
72,960,gilmour_ambient_1,normal
67,1920,gilmour_ambient_1,vibrato
74,960,gilmour_ambient_2,bend_half
72,480,gilmour_ambient_2,normal
70,480,gilmour_ambient_2,normal
67,960,gilmour_ambient_2,vibrato
65,960,gilmour_ambient_2,normal
67,1920,gilmour_ambient_2,vibrato
67,480,beck_gentle_1,normal
69,480,beck_gentle_1,slide_up
72,960,beck_gentle_1,vibrato
74,480,beck_gentle_1,normal
72,480,beck_gentle_1,normal
69,960,beck_gentle_1,normal
67,1920,beck_gentle_1,vibrato
67,480,beck_gentle_2,normal
71,480,beck_gentle_2,slide_up
74,960,beck_gentle_2,vibrato
71,480,beck_gentle_2,normal
67,480,beck_gentle_2,normal
64,960,beck_gentle_2,normal
67,1920,beck_gentle_2,vibrato
